date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:22	126/126	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jul%202021%2005:26:22%20GMT	https://crypterio.stylemixthemes.com/robots.txt		(from )
10:56:22	188506/188506	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2009:47:00%20GMT	https://crypterio.stylemixthemes.com/icoagency/	C:/My%20Web%20Sites/abc_3/crypterio.stylemixthemes.com/icoagency/index.html	(from )
10:56:23	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2023%20Jul%202021%2005:26:23%20GMT	https://crypterio.stylemixthemes.com/icoagency/xmlrpc.php	C:/My%20Web%20Sites/abc_3/crypterio.stylemixthemes.com/icoagency/xmlrpc.php	(from https://crypterio.stylemixthemes.com/icoagency/)
10:56:24	51433/51433	---MCZ	200	added ('OK')	text/css	etag:W/%225fdc9059-c8e9%22	https://crypterio.stylemixthemes.com/icoagency/wp-includes/css/dist/block-library/style.min.css?ver=5.6.1	C:/My%20Web%20Sites/abc_3/crypterio.stylemixthemes.com/icoagency/wp-includes/css/dist/block-library/style.mind96d.css	(from https://crypterio.stylemixthemes.com/icoagency/)
10:56:24	60385/60385	---MCZ	200	added ('OK')	text/css	etag:W/%226017c28a-ebe1%22	https://crypterio.stylemixthemes.com/icoagency/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.3.6	C:/My%20Web%20Sites/abc_3/crypterio.stylemixthemes.com/icoagency/wp-content/plugins/revslider/public/assets/css/rs60587.css	(from https://crypterio.stylemixthemes.com/icoagency/)
10:56:25	1920/1920	---MCZ	200	added ('OK')	text/css	etag:W/%225fdc9150-780%22	https://crypterio.stylemixthemes.com/icoagency/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3.2	C:/My%20Web%20Sites/abc_3/crypterio.stylemixthemes.com/icoagency/wp-content/plugins/contact-form-7/includes/css/styles9dff.css	(from https://crypterio.stylemixthemes.com/icoagency/)
10:56:26	29548/29548	---M-Z	200	added ('OK')	application/rss+xml	etag:%225e634142b6ef8913035a812a4d1f978c%22	https://crypterio.stylemixthemes.com/icoagency/feed/	C:/My%20Web%20Sites/abc_3/crypterio.stylemixthemes.com/icoagency/feed/index.html	(from https://crypterio.stylemixthemes.com/icoagency/)
10:56:26	6640/6640	---M-Z	200	added ('OK')	application/rss+xml	etag:%229c13c38399902df88e1e9843d74c20d1%22	https://crypterio.stylemixthemes.com/icoagency/comments/feed/	C:/My%20Web%20Sites/abc_3/crypterio.stylemixthemes.com/icoagency/comments/feed/index.html	(from https://crypterio.stylemixthemes.com/icoagency/)
10:56:26	795/795	---M-Z	200	added ('OK')	application/rss+xml	etag:%229c13c38399902df88e1e9843d74c20d1%22	https://crypterio.stylemixthemes.com/icoagency/front-page/feed/	C:/My%20Web%20Sites/abc_3/crypterio.stylemixthemes.com/icoagency/front-page/feed/index.html	(from https://crypterio.stylemixthemes.com/icoagency/)
10:56:26	6801/6801	---MCZ	200	added ('OK')	text/css	etag:W/%225ad5c35a-1a91%22	https://crypterio.stylemixthemes.com/icoagency/wp-content/uploads/sites/12/stm_fonts/stmicons/stmicons.css?ver=1.0.2	C:/My%20Web%20Sites/abc_3/crypterio.stylemixthemes.com/icoagency/wp-content/uploads/sites/12/stm_fonts/stmicons/stmicons20b9.css	(from https://crypterio.stylemixthemes.com/icoagency/)
